[2025-06-29 09:13:34] SLIDESHOW_IMAGE_DELETED | IP: ::1 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36 | Details: ID: 2
[2025-06-29 09:13:43] SLIDESHOW_IMAGE_ADDED | IP: ::1 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36 | Details: URL: uploads/ef3194f762f8e0930dced0780630ef58.jpg
[2025-06-29 09:13:59] SLIDESHOW_IMAGE_ADDED | IP: ::1 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36 | Details: URL: uploads/03edfc979f33b1e357e5752f75447292.jpg
[2025-06-29 09:19:40] SLIDESHOW_IMAGE_ADDED | IP: ::1 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36 | Details: URL: uploads/af51973bfcb50dbb8569c51be33b6dc7.jpg
[2025-06-29 09:20:04] SLIDESHOW_IMAGE_DELETED | IP: ::1 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36 | Details: ID: 3
[2025-06-29 09:20:07] SLIDESHOW_IMAGE_DELETED | IP: ::1 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36 | Details: ID: 4
[2025-06-29 09:20:41] SLIDESHOW_IMAGE_DELETED | IP: ::1 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36 | Details: ID: 7
[2025-06-29 09:20:46] SLIDESHOW_IMAGE_DELETED | IP: ::1 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36 | Details: ID: 7
[2025-06-29 23:17:22] UNAUTHORIZED_ACCESS | IP: ::1 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36 | Details: Access to admin without login
[2025-06-29 23:17:56] LOGIN_SUCCESS | IP: ::1 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36 | Details: User: Nathan, IP: ::1
[2025-06-29 23:18:30] PASSWORD_CHANGED | IP: ::1 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36 | Details: User: Nathan
[2025-06-29 23:25:32] SLIDESHOW_IMAGE_DELETED | IP: ::1 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36 | Details: ID: 5
[2025-06-29 23:25:34] SLIDESHOW_IMAGE_DELETED | IP: ::1 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36 | Details: ID: 6
[2025-06-29 23:25:37] SLIDESHOW_IMAGE_DELETED | IP: ::1 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36 | Details: ID: 1
[2025-06-29 23:25:44] SLIDESHOW_IMAGE_ADDED | IP: ::1 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36 | Details: URL: uploads/1e1489f14e4a6f112db44124afe1a46d.jpg
[2025-06-29 23:25:49] SLIDESHOW_IMAGE_ADDED | IP: ::1 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36 | Details: URL: uploads/acf038c20e19367b661157c6e7380446.jpg
[2025-06-29 23:25:55] SLIDESHOW_IMAGE_ADDED | IP: ::1 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36 | Details: URL: uploads/f8217416db25edf532efecd59e9846b1.jpg
[2025-06-29 23:39:20] SLIDESHOW_ORDER_UPDATED | IP: ::1 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36 | Details: Order updated
